Years,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1978,-3.4,-2.2,5.1,10.8,15.4,20.5,23.2,22.1,18.8,12.45,5.2,-1.2
1983,0.6,2.7,5.7,8.3,14.4,19.5,23.3,23.9,18.6,12.8,6.1,-3.6
1988,-2.3,0.9,5.7,11,16.2,21.6,23.7,23.1,18.1,12.2,6.2,0.8
1993,-0.8,-0.5,5.4,10,16,19.5,22.3,22.1,17.4,11.6,4,1.2
1998,1.1,4.1,8.1,11.7,17.6,21.5,23,23.7,17.3,10.1,3.1,-0.8
2003,1.2,0.6,9.2,13,19.7,25.3,24.5,26.5,18.4,9.9,6.4,2.7
2008,3.6,5,9.6,12.8,18.8,22.2,23.3,23.6,18.2,13.1,6,1.8
2013,3.2,3.1,7.4,13.9,15.8,20.8,24.8,23.6,18.8,13.8,8.6,4.1
2018,3.7,4.1,8.1,15.8,18.4,22.6,24.1,24.3,20,14.4,8.9,2.8
2022,-0.5,0.9,6.7,10.3,16.6,21.5,24.6,23.6,20,13,5,0.6
