month,year,min,max,mean
January,1978,-8.411,1.578,-3.411
February,1978,-7.7,3.239,-2.228
March,1978,-1.172,11.5,5.172
April,1978,4.311,17.45,10.878
May,1978,8.672,22.15,15.411
June,1978,13.2,27.828,20.522
July,1978,15.939,30.511,23.222
August,1978,14.878,29.35,22.111
September,1978,11.889,25.711,18.8
October,1978,4.689,20.2,12.45
November,1978,-0.5,11.022,5.261
December,1978,-7.011,4.578,-1.222
January,1983,-4.522,5.75,0.622
February,1983,-2.672,8.072,2.7
March,1983,0.422,11.128,5.778
April,1983,2.111,14.561,8.339
May,1983,7.422,21.411,14.411
June,1983,12.522,26.472,19.5
July,1983,16.111,30.539,23.328
August,1983,16.739,31.089,23.922
September,1983,11.372,25.961,18.661
October,1983,6.278,19.272,12.778
November,1983,0.711,11.539,6.128
December,1983,-8.6,1.35,-3.628
January,1988,-8.089,3.411,-2.339
February,1988,-5.711,7.578,0.939
March,1988,-1.172,12.728,5.778
April,1988,3.522,18.489,11.011
May,1988,8.6,23.861,16.228
June,1988,13.722,29.461,21.6
July,1988,16.322,31.211,23.772
August,1988,15.811,30.478,23.15
September,1988,10.889,25.339,18.111
October,1988,4.939,19.45,12.2
November,1988,0.289,12.25,6.272
December,1988,-5.328,6.95,0.811
January,1993,-5.928,4.228,-0.85
February,1993,-6.139,5.172,-0.478
March,1993,-0.55,11.428,5.439
April,1993,3.322,16.578,9.95
May,1993,9.1,22.989,16.05
June,1993,12.85,26.261,19.561
July,1993,15.711,28.9,22.311
August,1993,15.3,29.011,22.161
September,1993,10.15,24.622,17.389
October,1993,4.772,18.522,11.65
November,1993,-2.15,10.161,4.011
December,1993,-4.239,6.678,1.222
January,1998,-3.522,6.839,1.661
February,1998,-1.328,8.789,3.728
March,1998,-0.65,11.022,5.189
April,1998,3.7,17.478,10.589
May,1998,9.878,23.972,16.928
June,1998,13.278,26.861,20.072
July,1998,17.161,31.15,24.161
August,1998,16.15,30.528,23.35
September,1998,13.339,27.75,20.55
October,1998,6.289,19.4,12.85
November,1998,1.689,12.628,7.172
December,1998,-3.828,7.772,1.972
January,2003,-5.422,6.322,0.45
February,2003,-5.311,6.189,0.439
March,2003,-0.211,12.761,6.278
April,2003,4.172,17.928,11.05
May,2003,9.311,22.9,16.1
June,2003,13.089,26.961,20.028
July,2003,16.789,31.5,24.15
August,2003,16.6,30.789,23.7
September,2003,11.139,25.478,18.311
October,2003,6.328,20.95,13.639
November,2003,0,11.5,5.75
December,2003,-3.811,7.472,1.828
January,2008,-6.8,4.872,-0.961
February,2008,-4.789,7.789,1.5
March,2008,-1.3,12.261,5.478
April,2008,2.961,17.478,10.222
May,2008,8.089,22.3,15.2
June,2008,13.65,28.128,20.889
July,2008,16.161,30.578,23.378
August,2008,15.339,29.411,22.378
September,2008,11.35,25.55,18.45
October,2008,5.089,19.339,12.211
November,2008,0.5,12.739,6.622
December,2008,-6.028,5.889,-0.072
January,2013,-5.672,5.95,0.139
February,2013,-4.4,7.478,1.539
March,2013,-1.611,11.5,4.95
April,2013,2.922,16.7,9.822
May,2013,8.989,23.072,16.028
June,2013,14.322,28.328,21.328
July,2013,16.661,30.239,23.45
August,2013,15.878,29.661,22.772
September,2013,12.622,26.211,19.422
October,2013,5.3,18.511,11.911
November,2013,-0.7,11.378,5.339
December,2013,-6.328,5.289,-0.522
January,2018,-6.022,6.2,0.089
February,2018,-4.239,8.15,1.95
March,2018,-0.311,12.228,5.961
April,2018,2.328,16.578,9.461
May,2018,11.45,25.778,18.622
June,2018,14.961,28.978,21.972
July,2018,17.039,31.239,24.139
August,2018,16.139,29.972,23.061
September,2018,13.172,26.311,19.739
October,2018,6.128,17.989,12.061
November,2018,-1.189,10.089,4.45
December,2018,-3.189,7.1,1.95
January,2022,-6.95,6.028,-0.461
February,2022,-6.039,7.9,0.928
March,2022,-0.311,13.728,6.711
April,2022,3.378,17.339,10.361
May,2022,9.65,23.55,16.611
June,2022,14.389,28.722,21.55
July,2022,17.539,31.789,24.672
August,2022,16.811,30.489,23.65
September,2022,12.711,27.311,20.011
October,2022,5.489,20.322,12.911
November,2022,-1.139,11.011,4.928
December,2022,-4.672,5.872,0.6
