Date,Min,Max
197801,26.8,44.4
197802,27.3,50.3
197803,38.8,63.6
197804,49.7,78.0
197805,58.4,81.6
197806,66.6,89.3
197807,69.4,92.1
197808,68.4,90.2
197809,65.2,88.6
197810,46.8,77.6
197811,46.1,72.3
197812,34.0,59.2
198301,32.2,52.1
198302,36.8,56.4
198303,40.8,63.2
198304,45.2,70.4
198305,56.7,80.5
198306,64.4,84.6
198307,69.1,92.0
198308,69.2,93.0
198309,60.2,83.8
198310,51.9,76.1
198311,40.4,66.0
198312,31.6,52.0
198801,30.8,50.6
198802,32.6,58.1
198803,41.2,67.4
198804,49.7,75.8
198805,53.7,82.9
198806,63.0,91.2
198807,68.8,89.1
198808,69.5,91.2
198809,65.3,83.7
198810,46.8,71.6
198811,44.6,68.4
198812,34.4,59.3
199301,39.6,58.0
199302,34.7,57.8
199303,40.4,63.0
199304,45.9,71.6
199305,57.3,80.3
199306,66.1,89.1
199307,70.5,93.8
199308,69.3,90.9
199309,62.2,85.9
199310,50.8,74.8
199311,39.2,64.2
199312,34.9,55.7
199801,37.8,57.7
199802,38.7,59.7
199803,42.1,64.7
199804,49.7,73.4
199805,60.8,86.3
199806,69.0,92.3
199807,71.7,91.8
199808,68.7,91.2
199809,66.5,88.2
199810,53.6,80.0
199811,46.2,69.6
199812,42.0,60.8
200301,28.4,51.5
200302,37.2,58.7
200303,46.9,68.3
200304,50.8,75.8
200305,61.6,81.7
200306,65.7,85.5
200307,69.2,87.8
200308,69.9,89.0
200309,61.6,84.6
200310,51.1,75.9
200311,45.6,70.9
200312,31.6,56.3
200801,32.1,53.9
200802,36.1,62.2
200803,41.2,69.1
200804,50.6,75.0
200805,58.5,82.1
200806,66.8,90.6
200807,68.4,91.6
200808,68.4,88.3
200809,64.2,84.8
200810,50.0,74.3
200811,37.5,64.5
200812,39.1,60.3
201301,40.3,59.9
201302,37.2,58.9
201303,37.2,62.3
201304,50.0,74.3
201305,56.8,79.6
201306,68.2,87.7
201307,69.2,86.1
201308,68.6,87.1
201309,63.8,86.1
201310,53.5,76.3
201311,40.0,63.3
201312,37.6,58.2
201801,29.0,51.8
201802,47.9,68.1
201803,43.2,67.4
201804,46.2,72.8
201805,62.7,86.1
201806,68.7,89.8
201807,70.8,90.6
201808,69.4,89.6
201809,69.6,89.2
201810,56.7,78.2
201811,40.1,60.7
201812,40.0,58.0
202201,32.0,55.8
202202,37.3,62.9
202203,43.8,71.1
202204,49.6,75.5
202205,62.2,84.8
202206,68.8,91.8
202207,71.8,91.7
202208,70.2,88.4
202209,62.2,85.5
202210,46.9,75.6
202211,43.9,66.8
202212,39.5,58.8
